"Director_Name","Director_Gender"
"Robert Fuest","M"
"Predrag Antonijević","Unknown"
"Alejandro Agresti","M"
"John Dahl","M"
"Russell Mulcahy","M"
"Alex Proyas","M"
"Tom McCarthy","Unknown"
"Michael Cristofer","M"
"Griffin Dunne","Unknown"
"Nicolas Winding Refn","M"
"Brad Bird","M"
"Pierre Jolivet","M"
"Jonathan Lynn","M"
"Sergio Martino","M"
"Robert Lee","Unknown"
"K.C. Bascombe","Unknown"
"Thomas Wind","Unknown"
"Jez Butterworth","M"
"Andrzej Bartkowiak","M"
"Peter Medak","M"
"Guy Manos","Unknown"
"Kurt Voss","M"
"Robby Henson","M"
"Darryn Welch","Unknown"
"Dick Maas","M"
"John Rich","M"
"Richard Greenberg","M"
"John Putch","M"
"Haruyasu Noguchi","Unknown"
"George Sidney","M"
"Rod Lurie","M"
"Mario Gariazzo","Unknown"
"Richard C. Sarafian","Unknown"
"Hervé Renoh","M"
"Ralph Thomas","M"
"John Hughes","M"
"Brett Ratner","M"
"Gérard Krawczyk","M"
"Brian Helgeland","M"
"Hironobu Sakaguchi","Unknown"
"Paul Schrader","Unknown"
"Carl Franklin","Unknown"
"Marc Rothemund","M"
"Howard Deutch","M"
"Richard Rush","M"
"Lewis Teague","M"
"Nick Lyon","M"
"David Drury","M"
"Andrew Van Slee","Unknown"
"George Pal","M"
"Simon Wells","M"
"Andrew Lau","Unknown"
"Charles Bail","M"
"Mark Rydell","M"
"Harald Zwart","M"
"Uli Edel","Unknown"
"Cecilia Peck","F"
"D.J. Webster","Unknown"
"Irwin Allen","Unknown"
"Hugh Johnson","M"
"Kari Skogland","F"
"Malcolm Mowbray","M"
"Murali K. Thalluri","Unknown"
"Peter Timm","Unknown"
"Christian Lara","Unknown"
"David Wain","M"
"Nils Gaup","M"
"Matt Berman","Unknown"
"Helmuth Rüßmann","Unknown"
"Daniel Sackheim","M"
"Susanne Haiden","Unknown"
"Paul Wagner","Unknown"
"Liam Lynch","M"
"Colin Nutley","Unknown"
"Gottfried Kolditz","Unknown"
"John De Bello","M"
"Peter Zingler","Unknown"
"Ciarán Tanham","Unknown"
"Herb Freed","M"
"María Lidón","Unknown"
"Umberto Lenzi","Unknown"
"George Bowers","M"
"Benjamin Quabeck","Unknown"
"Frank Oz","M"
"Marion Hänsel","F"
"Dieter Böttger","Unknown"
"Michael Fischa","M"
"Frank Beyer","M"
"Walter Bannert","Unknown"
"Michael Laux","Unknown"
"Rolf Römer","Unknown"
"Julien Temple","M"
"Max Färberböck","M"
"Ole Bornedal","M"
"Johannes Fabrick","M"
"Gustav von Wangenheim","M"
"Frank Vogel","M"
"Konrad Petzold","M"
"Egon Günther","M"
"Kurt Maetzig","M"
"Artwork Team","Unknown"
"Werner W. Wallroth","M"
"Günter Reisch","M"
"Roland Gräf","M"
"Heiner Carow","Unknown"
"Warner Team","Unknown"
"Gerhard Klein","M"
"Len Cotter","Unknown"
"Ralf Kirsten","M"
"Leander Haußmann","Unknown"
"Planet Song","Unknown"
"MTV Team","Unknown"
"Harold Becker","M"
"Aubrey Powell","Unknown"
"Joachim Kunert","M"
"Richard Groschopp","M"
"Andrew Jarecki","M"
"Costa-Gavras","Unknown"
"Johannes Schaaf","Unknown"
"Robert Shaye","M"
"Timur Bekmambetov","M"
"Matthew Vaughn","M"
"Penny Marshall","F"
"Maurice Pialat","M"
"Zach Helm","M"
"Ben Sombogaart","M"
"David LaChapelle","M"
"Peter Kassovitz","M"
"Ingrid Sander","Unknown"
"Bernhard Sinkel","Unknown"
"Joe Pytka","M"
"Peter Schulze-Rohr","Unknown"
"Armin Mueller-Stahl","M"
"Patrice Chéreau","M"
"Axel Corti","Unknown"
"Joshua Brand","M"
"Detlef Rönfeldt","M"
"Uwe Boll","M"
"Ben Younger","M"
"Jean Stewart","Unknown"
"David Lister","M"
"Harley Cokeliss","M"
"Eric Small","M"
"Phil Alden Robinson","M"
"George Gallo","M"
"Aleksandr Buravsky","Unknown"
"Gérard Pirès","Unknown"
"Roger Young","M"
"Heinrich Breloer","M"
"Heiner Stadler","Unknown"
"Diethard Küster","Unknown"
"Jia Zhangke","Unknown"
"Lars Büchel","M"
"Mike Binder","M"
"Piers Ashworth","Unknown"
"Nigel Cole","M"
"Paolo Taviani","M"
"Michael Crichton","M"
"Aleksandr Alov","M"
"Édouard Molinaro","M"
"Iradj Azimi","Unknown"
"Denys de La Patellière","Unknown"
"Christian Gion","Unknown"
"Jean-Pierre Mocky","M"
"Marcel Cravenne","Unknown"
"Anne Walter","Unknown"
"Benoît Lamy","Unknown"
"Sergei Yutkevich","M"
"Serge Korber","Unknown"
"Michel Subiela","Unknown"
"Charles Nemes","Unknown"
"Julien Donada","Unknown"
"René Féret","Unknown"
"Pierre Schoendoerffer","Unknown"
"Germán Lorente","Unknown"
"Gérard Brach","M"
"Jean-Daniel Verhaeghe","M"
"Frédéric Forestier","M"
"Rodney McDonald","M"
"Louis Grospierre","Unknown"
"René Manzor","M"
"Kei Kumai","Unknown"
"Eriprando Visconti","Unknown"
"Gabi Kubach","F"
"Jacques Rampal","Unknown"
"Franco Zeffirelli","M"
"Bernard Toublanc-Michel","M"
"Jean-Paul Carrère","Unknown"
"Bernard Férié","Unknown"
"Didier Kaminka","Unknown"
"Jacques Faber","Unknown"
"Henri Helman","Unknown"
"Jacques Demy","Unknown"
"Jacques Trébouta","Unknown"
"Javier Balaguer","Unknown"
"James Yukich","M"
"Michel Nerval","Unknown"
"George Seaton","M"
"Roger Christian","M"
"Roy William Neill","M"
"Catherine Hardwicke","F"
"Charles L. Bitsch","Unknown"
"Jacques Richard","M"
"Pierre Goutas","Unknown"
"Philippe Arnal","Unknown"
"Marcel Carné","M"
"Yves Robert","M"
"Johnnie To","Unknown"
"Harris Done","M"
"Fernando Trueba","Unknown"
"Stefen Fangmeier","Unknown"
"Toshiya Fujita","M"
"Paul Greengrass","M"
"Jack Clayton","M"
"Hirokazu Koreeda","M"
"Gianfranco De Bosio","Unknown"
"James L. Brooks","M"
"John Patrick Shanley","M"
"Gérard Jugnot","Unknown"
"Amy Holden Jones","F"
"Anand Tucker","M"
"James Orr","M"
"Norman René","M"
"Mark L. Lester","M"
"Bonnie Hunt","F"
"Luis Llosa","M"
"Stuart Cooper","M"
"Marc Lawrence","M"
"Eric Tsang","M"
"Tsui Hark","M"
"Ringo Lam","M"
"Liu Chia-Liang","M"
"David Slade","M"
"Gary Ross","M"
"Leslie H. Martinson","M"
"Ken Finkleman","M"
"Daniel Myrick","M"
"Tommy Lee Wallace","M"
"Hideo Nakata","M"
"Raymond Gérôme","M"
"Jean Meyer","Unknown"
"Leopold Grün","Unknown"
"Wang Quan'an","Unknown"
"Dušan Milić","Unknown"
"Robert Lieberman","M"
"Raffaele Mertes","M"
"Atiq Rahimi","Unknown"
"Ermanno Olmi","M"
"Peter Hall","M"
"Gianni Buffardi","Unknown"
"Emilio Martínez Lázaro","Unknown"
"Régis Wargnier","M"
"Nicole Mosleh","Unknown"
"Robert Markowitz","M"
"Joseph Drimal","Unknown"
"William Karel","Unknown"
"Mart Dominicus","Unknown"
"John Herzfeld","M"
"Paul Driessen","Unknown"
"Fons Rademakers","M"
"Alex van Warmerdam","M"
"Alexander Payne","Unknown"
"Stephan Elliott","M"
"Jean van de Velde","Unknown"
