"Director_Name","Language","Language_Fullname"
"Ford Beebe","en","English"
"Ben Turpin","en","English"
"Dominik Reding","de","German"
"Daniel Sánchez Arévalo","es","Spanish; Castilian"
"Rafael Marziano Tinoco","pl","Polish"
"Bertrand Blier","fr","French"
"Marco Ferreri","it","Italian"
"Mike Marzuk","de","German"
"Justus von Dohnányi","de","German"
"Edward Bernds","en","English"
"Andrea Porporati","it","Italian"
"Marco S. Puccioni","it","Italian"
"Trey Parker","en","English"
"Henry Bean","en","English"
"Henri Verneuil","fr","French"
"Howard Zieff","en","English"
"Philippe de Broca","fr","French"
"Hans W. Geißendörfer","de","German"
"Jeremiah S. Chechik","en","English"
"Edmund Goulding","en","English"
"Lars-Eric Kjellgren","sv","Swedish"
"Ted Demme","en","English"
"Lucy Walker","en","English"
"Claude Goretta","fr","French"
"Anthony Page","en","English"
"Tony Bui","en","English"
"Sajid Khan","hi","Hindi"
"Claude Miller","fr","French"
"Billy Ray","en","English"
"Eric-Emmanuel Schmitt","en","English"
"Coline Serreau","fr","French"
"Michel Boisrond","fr","French"
"Jean-Paul Rappeneau","fr","French"
"Damiano Damiani","it","Italian"
"Ken Annakin","en","English"
"Eric Till","en","English"
"Alain Cavalier","fr","French"
"Jan Bonny","de","German"
"Kevin Kaufman","en","English"
"John Blanchard","en","English"
"Robin Davis","fr","French"
"Jean-Charles Tacchella","fr","French"
"Daniel Erickson","en","English"
"Nicolette Krebitz","de","German"
"Keenen Ivory Wayans","en","English"
"Yash Chopra","hi","Hindi"
"Kunal Kohli","hi","Hindi"
"Nikhil Advani","hi","Hindi"
"Morton Lewis","en","English"
"Malcolm D. Lee","en","English"
"Toby Dye","en","English"
"Georges Dumoulin","en","English"
"Christine Pascal","fr","French"
"Josiane Balasko","fr","French"
"Alain Corneau","fr","French"
"James Huth","fr","French"
"Peter Richardson","en","English"
"Raymond Rouleau","en","English"
"Dominik Graf","de","German"
"Franz Peter Wirth","de","German"
"Rolf Thiele","de","German"
"Peter Patzak","de","German"
"Rick Rosenthal","en","English"
"Aris Iliopulos","en","English"
"Michael Verhoeven","de","German"
"Sonja Heiss","de","German"
"Joe Wright","en","English"
"Peter Berg","en","English"
"Gregory Nava","en","English"
"Srdan Golubović","sr","Serbian"
"Hark Bohm","de","German"
"Tina Hirsch","en","English"
"Jack Hofsiss","en","English"
"Richard Friedman","en","English"
"Christian Faure","fr","French"
"Jean Chapot","fr","French"
"John Newland","en","English"
"Dick Clement","en","English"
"Ann Turner","en","English"
"Kai S. Pieck","de","German"
"Robert Luketic","en","English"
"Peter Chelsom","en","English"
"Rudolf Jugert","de","German"
"Bernd Eichinger","de","German"
"Thomas Brasch","de","German"
"Franz Antel","de","German"
"Michael Herbig","de","German"
"Rick Alyea","en","English"
"Florian Baxmeyer","de","German"
"Bernd Schadewald","de","German"
"André Cayatte","fr","French"
"Jean-Paul Le Chanois","fr","French"
"Marcel Bluwal","fr","French"
"Robert Hossein","fr","French"
"Riccardo Freda","it","Italian"
"Nico Hofmann","de","German"
"Santosh Sivan","en","English"
"Granz Henman","de","German"
"Peter Hyams","en","English"
"Neil Armfield","en","English"
"Georges Franju","fr","French"
"Peter Fleischmann","de","German"
"Noel Langley","en","English"
"Muriel Box","en","English"
"Yves Allégret","fr","French"
"Roy Ward Baker","en","English"
"Henry King","en","English"
"Anatole Litvak","en","English"
"Henry Hathaway","en","English"
"Willi Forst","de","German"
"Rebecca Miller","en","English"
"Daniel Vigne","fr","French"
"Jean-Jacques Beineix","en","English"
"Denys Arcand","fr","French"
"Sean S. Cunningham","en","English"
"Rainer Wolffhardt","de","German"
"Iván Zulueta","en","English"
"Víctor Erice","es","Spanish; Castilian"
"Jaime Chávarri","es","Spanish; Castilian"
"Luis García Berlanga","es","Spanish; Castilian"
"Robert A. Stemmle","de","German"
"Bigas Luna","es","Spanish; Castilian"
"Andrew Dominik","en","English"
"Patrice Leconte","fr","French"
"Shekhar Kapur","en","English"
"Jean Becker","fr","French"
"Kevin Lima","en","English"
"Claude Autant-Lara","fr","French"
"Fax Bahr","en","English"
"Gerhard Lamprecht","de","German"
"Peter Tewksbury","en","English"
"Josée Dayan","fr","French"
"F. Gary Gray","en","English"
"Brad Anderson","en","English"
"Fritz Umgelter","de","German"
"Živko Nikolić","sr","Serbian"
"Michael Patrick King","en","English"
"Werner Jacobs","de","German"
"Tony Gilroy","en","English"
"Zbynek Brynych","cs","Czech"
"Predrag Golubović","sr","Serbian"
"Zdravko Velimirović","sr","Serbian"
"Serge Gainsbourg","fr","French"
"Richard Benjamin","en","English"
"Nimród Antal","en","English"
"Michele Massimo Tarantini","it","Italian"
"Rafi Pitts","en","English"
"Kate Hudson","en","English"
"Rita Wilson","en","English"
"Paul Hoen","en","English"
"Patrick Sisam","en","English"
"Vicco von Bülow","de","German"
"Manfred Grunert","de","German"
"Claus Strigel","en","English"
"Rudolf Schweiger","de","German"
"Adam Ravetch","en","English"
"Robert Salis","en","English"
"Olivier Langlois","fr","French"
"Arnaud Desplechin","fr","French"
"José Giovanni","fr","French"
"Jean-Louis Trintignant","fr","French"
"Helmer von Lützelburg","de","German"
"Joseph Losey","en","English"
"Peter Bogdanovich","en","English"
"René Clément","fr","French"
"Julien Duvivier","fr","French"
"Abel Ferrara","en","English"
"Pierre Kalfon","fr","French"
"Georges Lampin","fr","French"
"Bernd Böhlich","de","German"
"Michel Deville","fr","French"
"André Delvaux","fr","French"
"Marguerite Duras","fr","French"
"Pierre Sisser","en","English"
"Ben Affleck","en","English"
"Carlos Cuarón","en","English"
"Pasquale Squitieri","it","Italian"
"Yves Ciampi","en","English"
"Nelly Kaplan","en","English"
"Ted Tetzlaff","en","English"
"Henry Koster","en","English"
"Renzo Martinelli","it","Italian"
"Nadia Conners","en","English"
"Maria Schrader","de","German"
"Bruno Jonas","de","German"
"Jean Herman","en","English"
"Henry Levin","en","English"
"Martin Gypkens","de","German"
"Alexander Singer","en","English"
"Peter Collinson","en","English"
"Stanislav Govorukhin","ru","Russian"
"Özer Kiziltan","en","English"
"Dito Tsintsadze","de","German"
"Wayne Wang","en","English"
"Val Guest","en","English"
"Marcus Mittermeier","de","German"
"Hervé Bromberger","en","English"
"Ann-Kristin Reyels","de","German"
"Marc Brummund","de","German"
"Jeff Stanzler","en","English"
"L.Q. Jones","en","English"
"Angelina Maccarone","de","German"
"Andrew L. Stone","en","English"
"David Moreton","en","English"
"Ranald MacDougall","en","English"
"Gene Kelly","en","English"
"Anthony Quinn","en","English"
"Vincent McEveety","en","English"
"David Lowell Rich","en","English"
"Anthony Mann","en","English"
"Joseph Pevney","en","English"
"Ethan Coen","en","English"
"Jacques Deray","fr","French"
"Gil Junger","en","English"
"Géza von Radványi","de","German"
"Charlie Kaufman","en","English"
"Otar Iosseliani","en","English"
"Manuel Poirier","fr","French"
"Judd Apatow","en","English"
"Edward Norton","en","English"
"Henner Winckler","de","German"
"Raoul Peck","en","English"
"Satoshi Kon","ja","Japanese"
"Don Bluth","en","English"
"Ulrich Köhler","de","German"
"George McCowan","en","English"
"Richard A. Colla","en","English"
"Michael Ritchie","en","English"
"Buzz Kulik","en","English"
"Samuel Fuller","en","English"
"Angela Schanelec","en","English"
"James Cox","en","English"
"Ulrich Seidl","de","German"
"Daniel Petrie","en","English"
"Vanessa Jopp","de","German"
"Adrian Hoven","de","German"
"William Witney","en","English"
"Jean-Gabriel Albicocco","fr","French"
"Jerzy Kawalerowicz","pl","Polish"
"Stuart Margolin","en","English"
"Patricia Plattner","en","English"
"Houchang Allahyari","de","German"
"Antonio Isasi-Isasmendi","es","Spanish; Castilian"
"Tony Gatlif","fr","French"
"Christopher Smith","en","English"
"Ivan Dykhovichnyy","ru","Russian"
"Curt M. Faudon","de","German"
"Kirsten Sheridan","en","English"
"Uli Gaulke","en","English"
"Menno Meyjes","nl","Dutch; Flemish"
"Michael Preece","en","English"
"Kerry Conran","en","English"
"Véra Belmont","en","English"
"Nick Love","en","English"
"Andrew Fleming","en","English"
"Michael Carreras","en","English"
"Todd Sheets","en","English"
"Nicolas Philibert","en","English"
"Michael Polish","en","English"
"Adolf Winkelmann","de","German"
"Yurek Bogayevicz","en","English"
"Zalman King","en","English"
"George Butler","en","English"
"Arthur Allan Seidelman","en","English"
"Jonathan Kaplan","en","English"
"Shane Black","en","English"
"Jag Mundhra","en","English"
"Damian Harris","en","English"
"Nick Hurran","en","English"
"Jennifer Aniston","en","English"
"Byun Young-Joo","ko","Korean"
"Rob Sitch","en","English"
"Eran Kolirin","he","Hebrew"
"Gregor Schnitzler","de","German"
"Simon Massey","en","English"
"Róbert I. Douglas","is","Icelandic"
"John Boskovich","en","English"
"Sanjay Leela Bhansali","hi","Hindi"
"Martin Donovan","en","English"
"Peter Ustinov","en","English"
"Pier Paolo Pasolini","it","Italian"
"Richard Shepard","en","English"
"Wolfgang Eißler","de","German"
"David Dobkin","en","English"
"Pete Travis","en","English"
"Joaquín Oristrell","es","Spanish; Castilian"
"Ventura Pons","en","English"
"Urs Egger","de","German"
"Samir Nasr","de","German"
"Scott Ziehl","en","English"
"Martin Enlen","de","German"
"Matti Geschonneck","de","German"
"Dieter Wedel","de","German"
"Rainer Matsutani","de","German"
"Graham Baker","en","English"
"Sturla Gunnarsson","en","English"
"Gerrard Verhage","nl","Dutch; Flemish"
"Yvan Gauthier","en","English"
"Takashi Yamazaki","ja","Japanese"
"Tom Reeve","en","English"
"Kathrin Feistl","de","German"
"Joram Lürsen","nl","Dutch; Flemish"
"Sidney Hayers","en","English"
"Daniel Bronzite","en","English"
"Frederick de Cordova","en","English"
"Jean-Pierre Melville","fr","French"
"Wesley Ruggles","en","English"
"Bryan Foy","en","English"
"Ron Lagomarsino","en","English"
"Jeff Probst","en","English"
"Michael Scott","en","English"
"Kent Faulcon","en","English"
"David Saperstein","en","English"
"Christophe Barratier","fr","French"
"Amos Poe","en","English"
"Fred Dekker","en","English"
"Enki Bilal","fr","French"
"Bettina Braun","en","English"
"Juan Calvo","en","English"
"Luis Piedrahita","en","English"
"Iris Gusner","de","German"
"Yves Boisset","fr","French"
"Jürgen Roland","de","German"
"Margarethe von Trotta","de","German"
"Hansjörg Thurn","de","German"
"Robert Dornhelm","en","English"
